,dataset,index,pipe1,pipe2,p,smd,nsub
0,004-2014,0,ACM+MDM(Grid),ACM+MDM(Grid),0.001953125,0.0,9
1,004-2014,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.22265625,0.26804984223306866,9
2,004-2014,2,CSP+LDA,ACM+MDM(Grid),0.95703125,-0.6487316054313633,9
3,004-2014,3,Cov+EN,ACM+MDM(Grid),0.912109375,-0.5159859315524635,9
4,004-2014,4,DeepConvNet,ACM+MDM(Grid),0.998046875,-1.1216224093492912,9
5,004-2014,5,EEGNet_8_2,ACM+MDM(Grid),0.99609375,-0.9928619781792856,9
6,004-2014,6,FgMDM,ACM+MDM(Grid),0.982421875,-0.6918169791189582,9
7,004-2014,7,MDM,ACM+MDM(Grid),0.99609375,-1.0095477425332635,9
8,004-2014,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.900390625,-0.47846682811683733,9
9,004-2014,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.34765625,0.1375935427693411,9
10,004-2014,10,MDOP_NonUniform_ACM+MDM(Grid),ACM+MDM(Grid),0.982421875,-0.8985051901748734,9
11,004-2014,11,MDOP_NonUniform_ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.02734375,0.6963567684294489,9
12,004-2014,12,ShallowConvNet,ACM+MDM(Grid),0.998046875,-1.1411524360289047,9
13,004-2014,13,TANG+SVM,ACM+MDM(Grid),0.96875,-0.61744956713344,9
14,004-2014,14,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.779296875,-0.26804984223306866,9
15,004-2014,15,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.001953125,0.0,9
16,004-2014,16,CSP+LDA,ACM+TGSP+SVM(Grid),0.984375,-0.8325690948523709,9
17,004-2014,17,Cov+EN,ACM+TGSP+SVM(Grid),0.96875,-0.6651384586897651,9
18,004-2014,18,DeepConvNet,ACM+TGSP+SVM(Grid),0.998046875,-1.184424747185436,9
19,004-2014,19,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.99609375,-1.0454802232404758,9
20,004-2014,20,FgMDM,ACM+TGSP+SVM(Grid),0.982421875,-0.8236184656396112,9
21,004-2014,21,MDM,ACM+TGSP+SVM(Grid),0.9921875,-1.0740029018229826,9
22,004-2014,22,ACM+MDM(MDOP),ACM+TGSP+SVM(Grid),0.94140625,-0.5891616393674118,9
23,004-2014,23,ACM+TGSP+SVM(MDOP),ACM+TGSP+SVM(Grid),0.533203125,-0.028708961819103537,9
24,004-2014,24,MDOP_NonUniform_ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.966796875,-0.7034294466482548,9
25,004-2014,25,MDOP_NonUniform_ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.015625,0.9545506209560598,9
26,004-2014,26,ShallowConvNet,ACM+TGSP+SVM(Grid),0.998046875,-1.2033030177489512,9
27,004-2014,27,TANG+SVM,ACM+TGSP+SVM(Grid),0.984375,-0.8201976776900158,9
28,004-2014,28,ACM+MDM(Grid),CSP+LDA,0.044921875,0.6487316054313633,9
29,004-2014,29,ACM+TGSP+SVM(Grid),CSP+LDA,0.017578125,0.8325690948523709,9
30,004-2014,30,CSP+LDA,CSP+LDA,0.001953125,0.0,9
31,004-2014,31,Cov+EN,CSP+LDA,0.169921875,0.37903525964482293,9
32,004-2014,32,DeepConvNet,CSP+LDA,0.99609375,-0.9519810873574405,9
33,004-2014,33,EEGNet_8_2,CSP+LDA,0.9921875,-0.8967945564776042,9
34,004-2014,34,FgMDM,CSP+LDA,0.54296875,-0.03526564255917684,9
35,004-2014,35,MDM,CSP+LDA,0.990234375,-0.9949069675224125,9
36,004-2014,36,ACM+MDM(MDOP),CSP+LDA,0.05078125,0.6034207825353529,9
