,dataset,index,pipe1,pipe2,p,smd,nsub
0,Zhou 2016,0,ACM+MDM(Grid),ACM+MDM(Grid),0.125,0.0,3
1,Zhou 2016,1,ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.125,3.8982279817615493,3
2,Zhou 2016,2,CSP+LDA,ACM+MDM(Grid),0.625,-0.08794957012555683,3
3,Zhou 2016,3,Cov+EN,ACM+MDM(Grid),0.25,0.680273954968918,3
4,Zhou 2016,4,DeepConvNet,ACM+MDM(Grid),0.25,0.7155805004266135,3
5,Zhou 2016,5,EEGNet_8_2,ACM+MDM(Grid),0.25,0.9512268138218396,3
6,Zhou 2016,6,FgMDM,ACM+MDM(Grid),0.625,-0.18468781741233464,3
7,Zhou 2016,7,MDM,ACM+MDM(Grid),0.875,-1.3981664761590888,3
8,Zhou 2016,8,ACM+MDM(MDOP),ACM+MDM(Grid),0.875,-0.3993693281769597,3
9,Zhou 2016,9,ACM+TGSP+SVM(MDOP),ACM+MDM(Grid),0.125,0.9213628507874133,3
10,Zhou 2016,10,MDOP_NonUniform_ACM+MDM(Grid),ACM+MDM(Grid),0.875,-11.663206119795444,3
11,Zhou 2016,11,MDOP_NonUniform_ACM+TGSP+SVM(Grid),ACM+MDM(Grid),0.25,0.6658908943736231,3
12,Zhou 2016,12,ShallowConvNet,ACM+MDM(Grid),0.125,2.0229362616730495,3
13,Zhou 2016,13,TANG+SVM,ACM+MDM(Grid),0.5,0.18174950132362094,3
14,Zhou 2016,14,ACM+MDM(Grid),ACM+TGSP+SVM(Grid),0.875,-3.8982279817615493,3
15,Zhou 2016,15,ACM+TGSP+SVM(Grid),ACM+TGSP+SVM(Grid),0.125,0.0,3
16,Zhou 2016,16,CSP+LDA,ACM+TGSP+SVM(Grid),0.875,-0.8618637261249951,3
17,Zhou 2016,17,Cov+EN,ACM+TGSP+SVM(Grid),0.875,-0.5733745461565213,3
18,Zhou 2016,18,DeepConvNet,ACM+TGSP+SVM(Grid),0.75,-0.3752809050294101,3
19,Zhou 2016,19,EEGNet_8_2,ACM+TGSP+SVM(Grid),0.625,-0.13739032692918404,3
20,Zhou 2016,20,FgMDM,ACM+TGSP+SVM(Grid),0.875,-1.4495681769479645,3
21,Zhou 2016,21,MDM,ACM+TGSP+SVM(Grid),0.875,-5.65120407271139,3
