,pipeline,score,std
0,ACM+MDM(Grid),0.9133909411111111,0.06592477814946866
1,ACM+TGSP+SVM(Grid),0.942723411111111,0.06001705898131054
2,CSP+LDA,0.9095106000000001,0.10278486030452151
3,Cov+EN,0.9309563522222223,0.0758765886473772
4,DeepConvNet,0.9322031444444444,0.0676238827209942
5,EEGNet_8_2,0.9381444666666666,0.024505868875694337
6,FgMDM,0.9075164600000001,0.07603515868257525
7,MDM,0.8923842777777777,0.08150278536534471
8,ACM+MDM(MDOP),0.9088018500000001,0.0773852923329669
9,ACM+TGSP+SVM(MDOP),0.9280064877777777,0.06344521195332313
10,ShallowConvNet,0.9457343777777777,0.06391944522924806
11,TANG+SVM,0.9181254555555556,0.07714567837440914
